src/Hamlet.App/Controls/CwTerminalControl.cs | CwCharacter | type there | missing: none
src/Hamlet.App/Controls/CwTerminalControl.cs | CwConfidence | type there | missing: none
src/Hamlet.App/Controls/CwTerminalControl.cs | MorseAlphabet | type there | missing: none
src/Hamlet.App/Controls/ModePalette.cs | CwConfidence | type there | missing: none
src/Hamlet.App/Telemetry/AppEvents.cs | CwDecodeReport | type there | missing: none
src/Hamlet.App/Telemetry/AppEvents.cs | CwReadiness | type there | missing: none
src/Hamlet.App/Telemetry/AppEvents.cs | Outcome | TYPE ABSENT | missing: none
src/Hamlet.App/Telemetry/AppEvents.cs | TransmitChain | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | AutoCallOutcome | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | AutoCallSettings | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | AutoCallStop | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | AutoCallTransmission | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | AutoCallWindow | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | AutoCaller | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | CwCharacter | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | CwDecoder | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | CwMessage | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | KeyerCwSender | type there | missing: none
src/Hamlet.App/ViewModels/AutoCallViewModel.cs | TransmitReadiness | type there | missing: none
src/Hamlet.App/ViewModels/CwTranscript.cs | CwCharacter | type there | missing: none
src/Hamlet.App/ViewModels/CwTranscript.cs | CwReadingStage | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | ContactScript | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | ContactStage | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | CwDuration | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | CwMessage | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | CwReadiness | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | CwReadyState | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | CwTransmitter | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | Outcome | TYPE ABSENT | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | SendOption | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | SwrReport | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmissionEnd | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmissionWatch | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmitChain | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmitContext | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmitEvidence | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmitNotes | type there | missing: none
src/Hamlet.App/ViewModels/CwTransmitViewModel.cs | TransmitOutcome | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CallsignResolver | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | ContactStage | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCase | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCaseRoster | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCharacter | type there | missing: MarginLlr MarginShareForRecord WidestRecordedLlr
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCounterDelta | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCounterSample | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCounterTrail | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwCountsCover | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwDecodeReport | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwDecodeStory | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwDecoder | type there | missing: AssertStation DecodeQueueDroppedChunks DecodeQueueDroppedSamples DigitalMode PitchWasAsserted Ranked Retuned
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwElementPitch | TYPE ABSENT | missing: Measure MeasureAll
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwKeyingMeter | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwMessage | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwPitchChoice | TYPE ABSENT | missing: Keying OperatorAssertion Ranked StrongestBin
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwProbabilisticDecoder | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwProbabilisticStream | type there | missing: SamplesSeen
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwReadiness | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwStreamSplit | TYPE ABSENT | missing: Divide LeastTrustedMarks None
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | CwTransmitter | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | Envelope | TYPE ABSENT | missing: Decode None Run Runs Text WordsPerMinute
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | KeyerCwSender | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | KeyingEnvelope | type there | missing: none
