Failed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "cw-2026-08-17-013347", characters: 59, elements: 108, unsure: 2)
Failed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "cw-2026-08-17-013622", characters: 55, elements: 84, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "cw-2026-08-17-134712", characters: 63, elements: 98, unsure: 10)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "cw-2026-08-18-004507", characters: 50, elements: 118, unsure: 1)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-18-003016", characters: 57, elements: 149, unsure: 3)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-18-003126", characters: 54, elements: 144, unsure: 6)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-18-003758", characters: 63, elements: 121, unsure: 10)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-20-014854", characters: 0, elements: 0, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-20-014935", characters: 0, elements: 0, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-014113", characters: 0, elements: 0, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-014308", characters: 0, elements: 0, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-031838", characters: 57, elements: 126, unsure: 3)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-031905", characters: 42, elements: 118, unsure: 6)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-031948", characters: 34, elements: 114, unsure: 3)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-032012", characters: 44, elements: 120, unsure: 1)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-032050", characters: 53, elements: 123, unsure: 9)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-032113", characters: 55, elements: 118, unsure: 8)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-22-032129", characters: 66, elements: 119, unsure: 1)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-23-001520", characters: 5, elements: 45, unsure: 1)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-23-001831", characters: 55, elements: 124, unsure: 10)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-23-001952", characters: 75, elements: 142, unsure: 13)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-23-002016", characters: 75, elements: 136, unsure: 17)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-24-012403", characters: 22, elements: 65, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-011552", characters: 30, elements: 89, unsure: 8)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-012748", characters: 2, elements: 4, unsure: 0)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-012823", characters: 41, elements: 62, unsure: 15)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-012922", characters: 50, elements: 112, unsure: 5)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-013010", characters: 54, elements: 131, unsure: 6)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-013150", characters: 58, elements: 139, unsure: 7)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-013303", characters: 54, elements: 146, unsure: 10)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-013402", characters: 61, elements: 161, unsure: 5)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-013520", characters: 60, elements: 153, unsure: 5)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-013637", characters: 63, elements: 164, unsure: 3)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-021410", characters: 47, elements: 99, unsure: 11)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-021629", characters: 47, elements: 96, unsure: 20)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-25-021825", characters: 41, elements: 74, unsure: 16)
Passed TheCapturesThatDecodeKeepDecodingTests.EachStillProducesWhatItDid(name: "unadjudicated/cw-2026-08-26-125941", characters: 0, elements: 0, unsure: 0)
