cw-2026-08-17-013347: 59 characters against a floor of 59, 108 elements against 108, 2 unsure where 2 were marked when the floor was set, at 625 Hz
cw-2026-08-17-013622: 55 characters against a floor of 55, 84 elements against 84, 4 unsure where 0 were marked when the floor was set, at 600 Hz
cw-2026-08-17-134712: 63 characters against a floor of 63, 98 elements against 98, 42 unsure where 10 were marked when the floor was set, at 500 Hz
cw-2026-08-18-004507: 50 characters against a floor of 50, 118 elements against 118, 1 unsure where 1 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-18-003016: 57 characters against a floor of 57, 149 elements against 149, 3 unsure where 3 were marked when the floor was set, at 670 Hz
unadjudicated/cw-2026-08-18-003126: 54 characters against a floor of 54, 144 elements against 144, 6 unsure where 6 were marked when the floor was set, at 665 Hz
unadjudicated/cw-2026-08-18-003758: 63 characters against a floor of 63, 121 elements against 121, 19 unsure where 10 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-20-014854: 0 characters against a floor of 0, 0 elements against 0, 0 unsure where 0 were marked when the floor was set, at 600 Hz
unadjudicated/cw-2026-08-20-014935: 0 characters against a floor of 0, 0 elements against 0, 0 unsure where 0 were marked when the floor was set, at 825 Hz
unadjudicated/cw-2026-08-22-014113: 0 characters against a floor of 0, 0 elements against 0, 0 unsure where 0 were marked when the floor was set, at 600 Hz
unadjudicated/cw-2026-08-22-014308: 0 characters against a floor of 0, 0 elements against 0, 0 unsure where 0 were marked when the floor was set, at 575 Hz
unadjudicated/cw-2026-08-22-031838: 57 characters against a floor of 57, 126 elements against 126, 15 unsure where 3 were marked when the floor was set, at 525 Hz
unadjudicated/cw-2026-08-22-031905: 42 characters against a floor of 42, 118 elements against 118, 6 unsure where 6 were marked when the floor was set, at 300 Hz
unadjudicated/cw-2026-08-22-031948: 34 characters against a floor of 34, 114 elements against 114, 3 unsure where 3 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-22-032012: 44 characters against a floor of 44, 120 elements against 120, 1 unsure where 1 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-22-032050: 53 characters against a floor of 53, 123 elements against 123, 9 unsure where 9 were marked when the floor was set, at 325 Hz
unadjudicated/cw-2026-08-22-032113: 55 characters against a floor of 55, 118 elements against 118, 8 unsure where 8 were marked when the floor was set, at 650 Hz
unadjudicated/cw-2026-08-22-032129: 66 characters against a floor of 66, 119 elements against 119, 1 unsure where 1 were marked when the floor was set, at 650 Hz
unadjudicated/cw-2026-08-23-001520: 5 characters against a floor of 5, 45 elements against 45, 4 unsure where 1 were marked when the floor was set, at 600 Hz
unadjudicated/cw-2026-08-23-001831: 55 characters against a floor of 55, 124 elements against 124, 11 unsure where 10 were marked when the floor was set, at 525 Hz
unadjudicated/cw-2026-08-23-001952: 75 characters against a floor of 75, 142 elements against 142, 19 unsure where 13 were marked when the floor was set, at 525 Hz
unadjudicated/cw-2026-08-23-002016: 75 characters against a floor of 75, 136 elements against 136, 31 unsure where 17 were marked when the floor was set, at 525 Hz
unadjudicated/cw-2026-08-24-012403: 22 characters against a floor of 22, 65 elements against 65, 1 unsure where 0 were marked when the floor was set, at 440 Hz
unadjudicated/cw-2026-08-25-011552: 30 characters against a floor of 30, 89 elements against 89, 8 unsure where 8 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-25-012748: 4 characters against a floor of 2, 16 elements against 4, 2 unsure where 0 were marked when the floor was set, at 395 Hz
unadjudicated/cw-2026-08-25-012823: 41 characters against a floor of 41, 62 elements against 62, 15 unsure where 15 were marked when the floor was set, at 450 Hz
unadjudicated/cw-2026-08-25-012922: 50 characters against a floor of 50, 112 elements against 112, 5 unsure where 5 were marked when the floor was set, at 475 Hz
unadjudicated/cw-2026-08-25-013010: 54 characters against a floor of 54, 131 elements against 131, 6 unsure where 6 were marked when the floor was set, at 475 Hz
unadjudicated/cw-2026-08-25-013150: 58 characters against a floor of 58, 139 elements against 139, 7 unsure where 7 were marked when the floor was set, at 495 Hz
unadjudicated/cw-2026-08-25-013303: 54 characters against a floor of 54, 146 elements against 146, 10 unsure where 10 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-25-013402: 61 characters against a floor of 61, 161 elements against 161, 5 unsure where 5 were marked when the floor was set, at 525 Hz
unadjudicated/cw-2026-08-25-013520: 60 characters against a floor of 60, 153 elements against 153, 5 unsure where 5 were marked when the floor was set, at 540 Hz
unadjudicated/cw-2026-08-25-013637: 63 characters against a floor of 63, 164 elements against 164, 3 unsure where 3 were marked when the floor was set, at 550 Hz
unadjudicated/cw-2026-08-25-021410: 47 characters against a floor of 47, 99 elements against 99, 11 unsure where 11 were marked when the floor was set, at 550 Hz
unadjudicated/cw-2026-08-25-021629: 47 characters against a floor of 47, 96 elements against 96, 20 unsure where 20 were marked when the floor was set, at 500 Hz
unadjudicated/cw-2026-08-25-021825: 41 characters against a floor of 41, 74 elements against 74, 16 unsure where 16 were marked when the floor was set, at 400 Hz
unadjudicated/cw-2026-08-26-125941: 0 characters against a floor of 0, 0 elements against 0, 0 unsure where 0 were marked when the floor was set, at 400 Hz
