TARGET 10 CHAIN 7,9 LINKREJ 0 TARGETREJ 0
TARGET 11 CHAIN 7,9,10 LINKREJ 0 TARGETREJ 0
TARGET 13 CHAIN 1,2,3,5,12 LINKREJ 1 ( 12:CwDecodeReport.cs:1@58 ) TARGETREJ 0
TARGET 15 CHAIN 1,2,3,5,12,13 LINKREJ 1 ( 12:CwDecodeReport.cs:1@58 ) TARGETREJ 1 ( CwDecodeReport.cs:1@65 ) DROPPED( 15:CwPitchChoice.cs )
TARGET 19 CHAIN 1,2,3,5,12,13,15,18 LINKREJ 2 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 ) TARGETREJ 1 ( CwDecodeReport.cs:1@77 ) DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 21 CHAIN 1,2,3,5,12,13,15,18,19 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 24 CHAIN 1,2,3,5,12,13,15,18,19,21 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 26 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 27 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25,26 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 29 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25,26,27,28 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 37 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25,26,27,28,29,30,31,33,34 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 38 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25,26,27,28,29,30,31,33,34,37 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 40 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25,26,27,28,29,30,31,33,34,37,38 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
TARGET 44 CHAIN 1,2,3,5,12,13,15,18,19,21,24,25,26,27,28,29,30,31,33,34,37,38,40 LINKREJ 3 ( 12:CwDecodeReport.cs:1@58 15:CwDecodeReport.cs:1@65 19:CwDecodeReport.cs:1@77 ) TARGETREJ 0 DROPPED( 15:CwPitchChoice.cs 19:CwPitchChoice.cs )
