Failed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.NothingIsEmittedDuringTheOperatorsOwnTransmission
Failed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheEasyTierIsReadWhole(name: "coverage-easy")
Failed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheEasyTierIsReadWhole(name: "exchange-easy")
Failed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheEasyTierIsReadWhole(name: "tightfist-easy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheEdgeTierCopiesOrRefusesButNeverGuesses(name: "coverage-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheEdgeTierCopiesOrRefusesButNeverGuesses(name: "exchange-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheEdgeTierCopiesOrRefusesButNeverGuesses(name: "prosigns-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "coverage-easy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "coverage-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "coverage-working")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "exchange-easy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "exchange-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "exchange-working")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "farnsworth-heavy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "farnsworth-light")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "fast-easy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "fast-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "fast-working")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "prosigns-easy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "prosigns-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "prosigns-working")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "qsk-preamble")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "tightfist-easy")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "tightfist-edge")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "tightfist-working")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "two-station-first")
Passed Hamlet.RadioEngine.Tests.Cw.Fixtures.CwReceiverFixtureTests.TheToneIsFoundInRealisticAudio(name: "two-station-second")
