| case | anchor | named | decoder Hz | low | high | share apart | sweep 300-900 | sweep 400-1200 | second-best | keying | single-sender | difference Hz | agree |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| cw-2026-08-17-013347 | anchor | 57 | 600 | 600.0 | 625.0 | 0.00 | 600 | 600 | 0.58 | no | no | 0 | agree |
| cw-2026-08-17-134712 | anchor | 21 | 500 | 500.0 | 500.0 | 0.00 | 500 | 500 | 0.74 | no | no | 0 | agree |
| cw-2026-08-18-004507 |  | 49 | 500 | 475.0 | 525.0 | 0.00 | 500 | 500 | 0.30 | keying | yes | 0 | agree |
| cw-2026-08-24-012403 |  | 21 | 440 | 435.0 | 450.0 | 0.00 | 450 | 450 | 0.29 | no | no | 10 | agree |
| cw-2026-08-22-031838 |  | 43 | 525 | 500.0 | 525.0 | 0.00 | 500 | 500 | 0.62 | keying | no | 25 | agree |
| cw-2026-08-22-031905 |  | 36 | 500 | 300.0 | 500.0 | 0.34 | 500 | 500 | 0.49 | keying | yes | 0 | agree |
| cw-2026-08-22-031948 |  | 31 | 500 | 500.0 | 500.0 | 0.00 | 500 | 500 | 0.67 | keying | no | 0 | agree |
| cw-2026-08-22-032012 |  | 43 | 500 | 500.0 | 500.0 | 0.00 | 500 | 500 | 0.71 | keying | no | 0 | agree |
| cw-2026-08-22-032050 |  | 44 | 500 | 325.0 | 500.0 | 0.23 | 500 | 500 | 0.57 | keying | no | 0 | agree |
| cw-2026-08-22-032113 |  | 47 | 500 | 500.0 | 650.0 | 0.33 | 500 | 500 | 0.69 | keying | no | 0 | agree |
| cw-2026-08-22-032129 |  | 65 | 650 | 500.0 | 650.0 | 0.65 | 500 | 500 | 0.69 | keying | no | 150 | apart |
| cw-2026-08-17-013622 |  | 51 | 600 | 600.0 | 625.0 | 0.00 | 600 | 600 | 0.43 | no | no | 0 | agree |
| cw-2026-08-18-003016 |  | 54 | 670 | 650.0 | 675.0 | 0.00 | 675 | 675 | 0.32 | keying | yes | 5 | agree |
| cw-2026-08-18-003126 |  | 48 | 670 | 650.0 | 680.0 | 0.00 | 675 | 675 | 0.32 | keying | yes | 5 | agree |
| cw-2026-08-18-003758 | anchor | 44 | 500 | 485.0 | 500.0 | 0.00 | 500 | 500 | 0.30 | keying | yes | 0 | agree |
| cw-2026-08-23-001520 |  | 1 | 600 | 600.0 | 600.0 | 1.00 | 525 | 1000 | 1.00 | keying | no | 75 | apart |
| cw-2026-08-23-001831 |  | 44 | 525 | 500.0 | 530.0 | 0.00 | 525 | 525 | 0.39 | no | no | 0 | agree |
| cw-2026-08-23-001952 |  | 57 | 525 | 375.0 | 575.0 | 0.79 | 475 | 475 | 0.72 | no | no | 50 | apart |
| cw-2026-08-23-002016 |  | 44 | 525 | 525.0 | 525.0 | 1.00 | 475 | 475 | 0.52 | no | no | 50 | apart |
| cw-2026-08-25-011552 |  | 22 | 500 | 495.0 | 500.0 | 0.00 | 500 | 500 | 0.23 | no | no | 0 | agree |
| cw-2026-08-25-012748 |  | 2 | 400 | 400.0 | 400.0 | 0.00 | 400 | 400 | 0.12 | no | no | 0 | agree |
| cw-2026-08-25-012823 |  | 26 | 500 | 500.0 | 500.0 | 0.00 | 500 | 500 | 0.18 | no | no | 0 | agree |
| cw-2026-08-25-012922 |  | 45 | 500 | 475.0 | 500.0 | 0.00 | 500 | 500 | 0.75 | keying | no | 0 | agree |
| cw-2026-08-25-013010 |  | 48 | 500 | 475.0 | 505.0 | 0.00 | 500 | 500 | 0.31 | no | no | 0 | agree |
| cw-2026-08-25-013150 |  | 51 | 500 | 495.0 | 525.0 | 0.09 | 525 | 525 | 0.41 | no | no | 25 | agree |
| cw-2026-08-25-013303 |  | 44 | 500 | 495.0 | 505.0 | 0.00 | 500 | 500 | 0.32 | no | no | 0 | agree |
| cw-2026-08-25-013402 |  | 56 | 525 | 525.0 | 550.0 | 0.00 | 550 | 550 | 0.57 | keying | no | 25 | agree |
| cw-2026-08-25-013520 |  | 55 | 550 | 525.0 | 550.0 | 0.00 | 550 | 550 | 0.58 | keying | no | 0 | agree |
| cw-2026-08-25-013637 |  | 60 | 525 | 525.0 | 550.0 | 0.00 | 550 | 550 | 0.60 | keying | no | 25 | agree |
| cw-2026-08-25-021410 |  | 36 | 535 | 535.0 | 550.0 | 0.00 | 550 | 550 | 0.53 | no | no | 15 | agree |
| cw-2026-08-25-021629 |  | 27 | 500 | 500.0 | 500.0 | 0.00 | 500 | 500 | 0.68 | no | no | 0 | agree |
| cw-2026-08-25-021825 |  | 25 | 400 | 390.0 | 410.0 | 1.00 | 325 | 600 | 0.79 | no | no | 75 | apart |
| cw-2026-08-26-125941 |  | 0 | 400 | 375.0 | 600.0 | 0.80 | 450 | 450 | 0.89 | no | no | 50 | apart |
| cw-2026-08-20-014854 |  | 0 | 600 | 600.0 | 825.0 | 0.48 | 575 | 575 | 0.33 | no | no | 25 | agree |
| cw-2026-08-20-014935 |  | 0 | 625 | 600.0 | 825.0 | 0.43 | 600 | 600 | 0.69 | no | no | 25 | agree |
| cw-2026-08-22-014113 |  | 0 | 600 | 600.0 | 725.0 | 0.43 | 600 | 600 | 0.39 | no | no | 0 | agree |
| cw-2026-08-22-014308 |  | 0 | 575 | 450.0 | 600.0 | 0.75 | 625 | 625 | 0.21 | no | no | 50 | apart |
| cw-2026-09-23-173723 |  | 46 | 575 | 575.0 | 600.0 | 0.00 | 600 | 600 | 0.07 | no | no | 25 | agree |
