Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.47]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.65]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.66]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:02:00.75]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatTheNeighborsSayTests.EachLetterAgainstTheLettersAroundIt [1 m 59 s]
  Standard Output Messages:
 check | 165 edits over 565 characters against inferred keys, 23 keyed recordings | window 3 named characters each side, the character itself left out | named with a measured span: 1773, on keyed recordings 892
 
 CHARACTERS | every named character on the keyed recordings, in order
 char | recording | at | heap | text | pattern | span | neighbors' median | ratio
 char | cw-2026-08-17-013347 | 0.320 s | keyed, unscored | `E` | . | 161147685.3 | 185285450.0 | 0.870
 char | cw-2026-08-17-013347 | 0.680 s | keyed, unscored | `E` | . | 90739492.2 | 547616938.1 | 0.166
 char | cw-2026-08-17-013347 | 0.915 s | keyed, unscored | `I` | .. | 909948426.2 | 185285450.0 | 4.911
 char | cw-2026-08-17-013347 | 1.515 s | keyed, unscored | `I` | .. | 185285450.0 | 613500678.7 | 0.302
 char | cw-2026-08-17-013347 | 2.115 s | keyed, unscored | `H` | .... | 2621719075.3 | 251169190.5 | 10.438
 char | cw-2026-08-17-013347 | 2.480 s | keyed, unscored | `I` | .. | 317052931.1 | 705021511.7 | 0.450
 char | cw-2026-08-17-013347 | 2.960 s | keyed, unscored | `A` | .- | 1288518720.4 | 408573764.1 | 3.154
 char | cw-2026-08-17-013347 | 3.205 s | keyed, unscored | `E` | . | 123193784.9 | 894306658.8 | 0.138
 char | cw-2026-08-17-013347 | 3.560 s | keyed, unscored | `I` | .. | 500094597.1 | 290515255.4 | 1.721
 char | cw-2026-08-17-013347 | 4.135 s | keyed, unscored | `H` | .... | 1346070271.3 | 206097965.2 | 6.531
 char | cw-2026-08-17-013347 | 4.400 s | keyed, unscored | `E` | . | 122441794.2 | 382036088.4 | 0.320
 char | cw-2026-08-17-013347 | 4.530 s | keyed, unscored | `E` | . | 263977579.7 | 399049472.9 | 0.662
 char | cw-2026-08-17-013347 | 4.665 s | keyed, unscored | `E` | . | 148218350.7 | 527262565.3 | 0.281
 char | cw-2026-08-17-013347 | 5.100 s | keyed, unscored | `A` | .- | 857497593.4 | 280990964.1 | 3.052
 char | cw-2026-08-17-013347 | 5.490 s | keyed, unscored | `E` | . | 298004348.6 | 306585162.3 | 0.972
 char | cw-2026-08-17-013347 | 5.955 s | keyed, unscored | `E` | . | 756520782.0 | 323598546.8 | 2.338
 char | cw-2026-08-17-013347 | 6.205 s | keyed, unscored | `E` | . | 349192745.0 | 527262565.3 | 0.662
 char | cw-2026-08-17-013347 | 6.335 s | keyed, unscored | `E` | . | 157836692.1 | 354421535.4 | 0.445
 char | cw-2026-08-17-013347 | 7.045 s | keyed, unscored | `H` | .... | 795618984.1 | 354421535.4 | 2.245
 char | cw-2026-08-17-013347 | 7.175 s | keyed, unscored | `E` | . | 263056940.1 | 354421535.4 | 0.742
 char | cw-2026-08-17-013347 | 7.405 s | keyed, unscored | `E` | . | 359650325.8 | 218275422.7 | 1.648
 char | cw-2026-08-17-013347 | 7.745 s | keyed, unscored | `I` | .. | 622885285.6 | 311353633.0 | 2.001
 char | cw-2026-08-17-013347 | 8.020 s | keyed, unscored | `E` | . | 173493905.3 | 491267805.7 | 0.353
 char | cw-2026-08-17-013347 | 8.250 s | keyed, unscored | `E` | . | 167249959.9 | 1400397752.3 | 0.119
 char | cw-2026-08-17-013347 | 9.215 s | keyed, unscored | `I` | .. | 6228057148.9 | 829311019.0 | 7.510
 char | cw-2026-08-17-013347 | 9.465 s | keyed, unscored | `E` | . | 2177910218.9 | 2479295220.2 | 0.878
 char | cw-2026-08-17-013347 | 9.735 s | keyed, unscored | `E` | . | 3922853688.0 | 2091838469.9 | 1.875
 char | cw-2026-08-17-013347 | 10.060 s | keyed, unscored | `E` | . | 1035736752.4 | 3661289172.6 | 0.283
 char | cw-2026-08-17-013347 | 10.540 s | keyed, unscored | `T` | - | 8256410311.8 | 2788817438.1 | 2.961
 char | cw-2026-08-17-013347 | 10.905 s | keyed, unscored | `E` | . | 2005766720.9 | 3661289172.6 | 0.548
 char | cw-2026-08-17-013347 | 11.625 s | keyed, unscored | `I` | .. | 3399724657.3 | 4551050366.3 | 0.747
 char | cw-2026-08-17-013347 | 12.280 s | keyed, unscored | `E` | . | 7096334011.7 | 4345520896.2 | 1.633
 char | cw-2026-08-17-013347 | 12.585 s | keyed, unscored | `E` | . | 1586336179.6 | 4345520896.2 | 0.365
 char | cw-2026-08-17-013347 | 13.430 s | keyed, unscored | `I` | .. | 7197284212.5 | 4345520896.2 | 1.656
 char | cw-2026-08-17-013347 | 13.665 s | keyed, unscored | `E` | . | 5291317135.0 | 6849935379.5 | 0.772
 char | cw-2026-08-17-013347 | 13.905 s | keyed, unscored | `E` | . | 817578459.3 | 5971272262.8 | 0.137
 char | cw-2026-08-17-013347 | 14.305 s | keyed, unscored | `I` | .. | 7048643368.4 | 3102599606.6 | 2.272
 char | cw-2026-08-17-013347 | 15.325 s | keyed, unscored | `T` | - | 6651227390.5 | 3102599606.6 | 2.144
 char | cw-2026-08-17-013347 | 15.470 s | keyed, unscored | `E` | . | 913882078.2 | 6849935379.5 | 0.133
 char | cw-2026-08-17-013347 | 15.720 s | keyed, unscored | `E` | . | 256609635.5 | 6849935379.5 | 0.037
 char | cw-2026-08-17-013347 | 16.075 s | keyed, unscored | `I` | .. | 10475951253.5 | 4203887568.9 | 2.492
 char | cw-2026-08-17-013347 | 16.655 s | keyed, unscored | `T` | - | 16828086307.6 | 5083784666.7 | 3.310
 char | cw-2026-08-17-013347 | 17.040 s | keyed, unscored | `E` | . | 1756547747.2 | 8508107247.4 | 0.206
 char | cw-2026-08-17-013347 | 17.760 s | keyed, unscored | `H` | .... | 8411021586.2 | 5180870327.9 | 1.623
 char | cw-2026-08-17-013347 | 18.240 s | keyed, unscored | `A` | .- | 8605192908.5 | 878939885.2 | 9.790
 char | cw-2026-08-17-013347 | 18.600 s | keyed, unscored | `E` | . | 736962.5 | 878939885.2 | 0.001
 char | cw-2026-08-17-013347 | 19.670 s | keyed, unscored | `W` | .-- | 1332023.2 | 368697.5 | 3.613
 char | cw-2026-08-17-013347 | 20.690 s | keyed, unscored | `V` | ...- | 426.9 | 368697.5 | 0.001
 char | cw-2026-08-17-013347 | 21.435 s | keyed, unscored | `R` | .-. | 233.8 | 429.7 | 0.544
 char | cw-2026-08-17-013347 | 22.190 s | keyed, unscored | `R` | .-. | 432.6 | 365.6 | 1.183
 char | cw-2026-08-17-013347 | 23.310 s | right | `V` | ...- | 304.3 | 398.8 | 0.763
