cw-2026-08-17-013347 | chars 57 -> 58 | elements 106 -> 109 | moves
cw-2026-08-17-013622 | chars 49 -> 48 | elements 78 -> 78 | FALLS
cw-2026-08-17-134712 | chars 11 -> 11 | elements 31 -> 30 | FALLS
cw-2026-08-18-004507 | chars 49 -> 48 | elements 117 -> 117 | FALLS
unadjudicated/cw-2026-08-18-003016 | chars 54 -> 54 | elements 146 -> 151 | moves
unadjudicated/cw-2026-08-18-003126 | chars 48 -> 51 | elements 131 -> 140 | moves
unadjudicated/cw-2026-08-18-003758 | chars 43 -> 42 | elements 92 -> 103 | FALLS
unadjudicated/cw-2026-08-20-014854 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-20-014935 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-22-014113 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-22-014308 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-22-031838 | chars 40 -> 39 | elements 91 -> 106 | FALLS
unadjudicated/cw-2026-08-22-031905 | chars 36 -> 68 | elements 108 -> 132 | moves
unadjudicated/cw-2026-08-22-031948 | chars 31 -> 31 | elements 111 -> 119 | moves
unadjudicated/cw-2026-08-22-032012 | chars 43 -> 45 | elements 119 -> 124 | moves
unadjudicated/cw-2026-08-22-032050 | chars 44 -> 69 | elements 105 -> 121 | moves
unadjudicated/cw-2026-08-22-032113 | chars 47 -> 67 | elements 102 -> 136 | moves
unadjudicated/cw-2026-08-22-032129 | chars 65 -> 98 | elements 114 -> 173 | moves
unadjudicated/cw-2026-08-23-001520 | chars 1 -> 1 | elements 1 -> 1 | same
unadjudicated/cw-2026-08-23-001831 | chars 43 -> 41 | elements 107 -> 113 | FALLS
unadjudicated/cw-2026-08-23-001952 | chars 46 -> 55 | elements 103 -> 111 | moves
unadjudicated/cw-2026-08-23-002016 | chars 34 -> 39 | elements 74 -> 86 | moves
unadjudicated/cw-2026-08-24-012403 | chars 19 -> 19 | elements 60 -> 60 | same
unadjudicated/cw-2026-08-25-011552 | chars 22 -> 20 | elements 74 -> 69 | FALLS
unadjudicated/cw-2026-08-25-012748 | chars 2 -> 0 | elements 3 -> 0 | FALLS
unadjudicated/cw-2026-08-25-012823 | chars 23 -> 12 | elements 37 -> 25 | FALLS
unadjudicated/cw-2026-08-25-012922 | chars 43 -> 39 | elements 104 -> 112 | FALLS
unadjudicated/cw-2026-08-25-013010 | chars 48 -> 48 | elements 122 -> 124 | moves
unadjudicated/cw-2026-08-25-013150 | chars 51 -> 55 | elements 123 -> 130 | moves
unadjudicated/cw-2026-08-25-013303 | chars 44 -> 45 | elements 127 -> 131 | moves
unadjudicated/cw-2026-08-25-013402 | chars 56 -> 61 | elements 150 -> 162 | moves
unadjudicated/cw-2026-08-25-013520 | chars 55 -> 60 | elements 147 -> 158 | moves
unadjudicated/cw-2026-08-25-013637 | chars 60 -> 65 | elements 157 -> 167 | moves
unadjudicated/cw-2026-08-25-021410 | chars 36 -> 34 | elements 88 -> 92 | FALLS
unadjudicated/cw-2026-08-25-021629 | chars 27 -> 20 | elements 65 -> 68 | FALLS
unadjudicated/cw-2026-08-25-021825 | chars 19 -> 12 | elements 43 -> 36 | FALLS
unadjudicated/cw-2026-08-26-125941 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-09-24-003901 | chars 9 -> 9 | elements 20 -> 20 | same
unadjudicated/cw-2026-09-24-003919 | chars 25 -> 25 | elements 52 -> 52 | same
unadjudicated/cw-2026-09-24-004027 | chars 39 -> 39 | elements 118 -> 118 | same
unadjudicated/cw-2026-09-24-004108 | chars 32 -> 32 | elements 107 -> 107 | same
unadjudicated/cw-2026-09-24-004133 | chars 28 -> 28 | elements 85 -> 100 | moves
unadjudicated/cw-2026-09-24-004205 | chars 34 -> 34 | elements 96 -> 96 | same
unadjudicated/cw-2026-09-24-004234 | chars 36 -> 38 | elements 95 -> 98 | moves
unadjudicated/cw-2026-09-24-004322 | chars 39 -> 40 | elements 112 -> 115 | moves
unadjudicated/cw-2026-09-24-004347 | chars 40 -> 40 | elements 115 -> 115 | same
unadjudicated/cw-2026-09-24-004405 | chars 35 -> 37 | elements 105 -> 109 | moves
unadjudicated/cw-2026-09-24-004427 | chars 42 -> 43 | elements 111 -> 107 | FALLS
unadjudicated/cw-2026-09-24-004510 | chars 34 -> 34 | elements 100 -> 100 | same
unadjudicated/cw-2026-09-24-004535 | chars 47 -> 47 | elements 128 -> 128 | same
unadjudicated/cw-2026-09-24-004550 | chars 41 -> 41 | elements 123 -> 123 | same
