cw-2026-08-17-013347 | chars 57 -> 57 | elements 106 -> 106 | same
cw-2026-08-17-013622 | chars 49 -> 49 | elements 78 -> 78 | same
cw-2026-08-17-134712 | chars 11 -> 8 | elements 31 -> 24 | FALLS
cw-2026-08-18-004507 | chars 49 -> 50 | elements 117 -> 122 | moves
unadjudicated/cw-2026-08-18-003016 | chars 54 -> 54 | elements 146 -> 146 | same
unadjudicated/cw-2026-08-18-003126 | chars 48 -> 48 | elements 131 -> 131 | same
unadjudicated/cw-2026-08-18-003758 | chars 43 -> 39 | elements 92 -> 95 | FALLS
unadjudicated/cw-2026-08-20-014854 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-20-014935 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-22-014113 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-22-014308 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-08-22-031838 | chars 40 -> 24 | elements 91 -> 80 | FALLS
unadjudicated/cw-2026-08-22-031905 | chars 36 -> 36 | elements 108 -> 103 | FALLS
unadjudicated/cw-2026-08-22-031948 | chars 31 -> 31 | elements 111 -> 111 | same
unadjudicated/cw-2026-08-22-032012 | chars 43 -> 43 | elements 119 -> 120 | moves
unadjudicated/cw-2026-08-22-032050 | chars 44 -> 45 | elements 105 -> 104 | FALLS
unadjudicated/cw-2026-08-22-032113 | chars 47 -> 45 | elements 102 -> 99 | FALLS
unadjudicated/cw-2026-08-22-032129 | chars 65 -> 60 | elements 114 -> 109 | FALLS
unadjudicated/cw-2026-08-23-001520 | chars 1 -> 1 | elements 1 -> 1 | same
unadjudicated/cw-2026-08-23-001831 | chars 43 -> 44 | elements 107 -> 115 | moves
unadjudicated/cw-2026-08-23-001952 | chars 46 -> 44 | elements 103 -> 105 | FALLS
unadjudicated/cw-2026-08-23-002016 | chars 34 -> 36 | elements 74 -> 86 | moves
unadjudicated/cw-2026-08-24-012403 | chars 19 -> 19 | elements 60 -> 60 | same
unadjudicated/cw-2026-08-25-011552 | chars 22 -> 22 | elements 74 -> 74 | same
unadjudicated/cw-2026-08-25-012748 | chars 2 -> 2 | elements 3 -> 3 | same
unadjudicated/cw-2026-08-25-012823 | chars 23 -> 19 | elements 37 -> 34 | FALLS
unadjudicated/cw-2026-08-25-012922 | chars 43 -> 36 | elements 104 -> 104 | FALLS
unadjudicated/cw-2026-08-25-013010 | chars 48 -> 48 | elements 122 -> 122 | same
unadjudicated/cw-2026-08-25-013150 | chars 51 -> 51 | elements 123 -> 123 | same
unadjudicated/cw-2026-08-25-013303 | chars 44 -> 44 | elements 127 -> 127 | same
unadjudicated/cw-2026-08-25-013402 | chars 56 -> 58 | elements 150 -> 154 | moves
unadjudicated/cw-2026-08-25-013520 | chars 55 -> 54 | elements 147 -> 144 | FALLS
unadjudicated/cw-2026-08-25-013637 | chars 60 -> 59 | elements 157 -> 153 | FALLS
unadjudicated/cw-2026-08-25-021410 | chars 36 -> 35 | elements 88 -> 88 | FALLS
unadjudicated/cw-2026-08-25-021629 | chars 27 -> 23 | elements 65 -> 60 | FALLS
unadjudicated/cw-2026-08-25-021825 | chars 19 -> 19 | elements 43 -> 43 | same
unadjudicated/cw-2026-08-26-125941 | chars 0 -> 0 | elements 0 -> 0 | same
unadjudicated/cw-2026-09-24-003901 | chars 9 -> 10 | elements 20 -> 21 | moves
unadjudicated/cw-2026-09-24-003919 | chars 25 -> 24 | elements 52 -> 52 | FALLS
unadjudicated/cw-2026-09-24-004027 | chars 39 -> 39 | elements 118 -> 118 | same
unadjudicated/cw-2026-09-24-004108 | chars 32 -> 32 | elements 107 -> 107 | same
unadjudicated/cw-2026-09-24-004133 | chars 28 -> 28 | elements 85 -> 85 | same
unadjudicated/cw-2026-09-24-004205 | chars 34 -> 34 | elements 96 -> 96 | same
unadjudicated/cw-2026-09-24-004234 | chars 36 -> 36 | elements 95 -> 95 | same
unadjudicated/cw-2026-09-24-004322 | chars 39 -> 39 | elements 112 -> 112 | same
unadjudicated/cw-2026-09-24-004347 | chars 40 -> 40 | elements 115 -> 115 | same
unadjudicated/cw-2026-09-24-004405 | chars 35 -> 35 | elements 105 -> 105 | same
unadjudicated/cw-2026-09-24-004427 | chars 42 -> 42 | elements 111 -> 111 | same
unadjudicated/cw-2026-09-24-004510 | chars 34 -> 34 | elements 100 -> 100 | same
unadjudicated/cw-2026-09-24-004535 | chars 47 -> 47 | elements 128 -> 128 | same
unadjudicated/cw-2026-09-24-004550 | chars 41 -> 41 | elements 123 -> 123 | same
