Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.70]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.90]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.90]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:01:05.12]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatTheSureLettersMarksLookLikeTests.EverySureLetterAgainstADitADahAndAnElementGap [1 m 3 s]
  Standard Output Messages:
 letter | set | recording | at s | sent | emitted | class | pattern | unit ms | unit from | marks ms/units/distance | inner gaps ms/units/distance | worst mark | worst gap | marks against elements
 letter | real | unadjudicated/cw-2026-09-23-173723 | 13.995 | `C` | `C` | right | -.-. | 70.0 | estimator | 210ms/3.00u/d1.00 75ms/1.07u/d1.07 210ms/3.00u/d1.00 75ms/1.07u/d1.07 | 70ms/1.00u/d1.00 75ms/1.07u/d1.07 60ms/0.86u/d1.17 | 1.07 | 1.17 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 15.150 | `Q` | `Q` | right | --.- | 70.0 | estimator | 215ms/3.07u/d1.02 220ms/3.14u/d1.05 80ms/1.14u/d1.14 215ms/3.07u/d1.02 | 65ms/0.93u/d1.08 60ms/0.86u/d1.17 65ms/0.93u/d1.08 | 1.14 | 1.17 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 16.355 | `C` | `C` | right | -.-. | 70.0 | estimator | 215ms/3.07u/d1.02 70ms/1.00u/d1.00 205ms/2.93u/d1.02 80ms/1.14u/d1.14 | 70ms/1.00u/d1.00 75ms/1.07u/d1.07 65ms/0.93u/d1.08 | 1.14 | 1.08 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 17.500 | `Q` | `Q` | right | --.- | 70.0 | estimator | 220ms/3.14u/d1.05 225ms/3.21u/d1.07 80ms/1.14u/d1.14 240ms/3.43u/d1.14 | 60ms/0.86u/d1.17 55ms/0.79u/d1.27 60ms/0.86u/d1.17 | 1.14 | 1.27 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 18.785 | `C` | `C` | right | -.-. | 70.0 | estimator | 220ms/3.14u/d1.05 80ms/1.14u/d1.14 235ms/3.36u/d1.12 80ms/1.14u/d1.14 | 55ms/0.79u/d1.27 65ms/0.93u/d1.08 50ms/0.71u/d1.40 | 1.14 | 1.40 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 19.950 | `Q` | `Q` | right | --.- | 70.0 | estimator | 230ms/3.29u/d1.10 210ms/3.00u/d1.00 75ms/1.07u/d1.07 215ms/3.07u/d1.02 | 50ms/0.71u/d1.40 70ms/1.00u/d1.00 65ms/0.93u/d1.08 | 1.10 | 1.40 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 20.825 | `D` | `D` | right | -.. | 70.0 | estimator | 215ms/3.07u/d1.02 75ms/1.07u/d1.07 90ms/1.29u/d1.29 | 70ms/1.00u/d1.00 65ms/0.93u/d1.08 | 1.29 | 1.08 | 3 of 3
 letter | real | unadjudicated/cw-2026-09-23-173723 | 21.170 | `E` | `E` | right | . | 70.0 | estimator | 75ms/1.07u/d1.07 |  | 1.07 | 1.00 | 1 of 1
 letter | real | unadjudicated/cw-2026-09-23-173723 | 22.050 | `W` | `W` | right | .-- | 70.0 | estimator | 75ms/1.07u/d1.07 215ms/3.07u/d1.02 220ms/3.14u/d1.05 | 65ms/0.93u/d1.08 65ms/0.93u/d1.08 | 1.07 | 1.08 | 3 of 3
 letter | real | unadjudicated/cw-2026-09-23-173723 | 22.990 | `B` | `B` | right | -... | 70.0 | estimator | 220ms/3.14u/d1.05 80ms/1.14u/d1.14 75ms/1.07u/d1.07 75ms/1.07u/d1.07 | 60ms/0.86u/d1.17 65ms/0.93u/d1.08 60ms/0.86u/d1.17 | 1.14 | 1.17 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 24.020 | `6` | `6` | right | -.... | 70.0 | estimator | 240ms/3.43u/d1.14 75ms/1.07u/d1.07 85ms/1.21u/d1.21 80ms/1.14u/d1.14 75ms/1.07u/d1.07 | 40ms/0.57u/d1.75 65ms/0.93u/d1.08 55ms/0.79u/d1.27 60ms/0.86u/d1.17 | 1.21 | 1.75 | 5 of 5
 letter | real | unadjudicated/cw-2026-09-23-173723 | 24.820 | `R` | `R` | right | .-. | 70.0 | estimator | 70ms/1.00u/d1.00 170ms/2.43u/d1.24 | 110ms/1.57u/d1.57 | 1.24 | 1.57 | 2 of 3
 letter | real | unadjudicated/cw-2026-09-23-173723 | 25.100 | `E` | `E` | right | . | 70.0 | estimator | 80ms/1.14u/d1.14 |  | 1.14 | 1.00 | 1 of 1
 letter | real | unadjudicated/cw-2026-09-23-173723 | 25.840 | `D` | `D` | right | -.. | 70.0 | estimator | 225ms/3.21u/d1.07 80ms/1.14u/d1.14 90ms/1.29u/d1.29 | 55ms/0.79u/d1.27 70ms/1.00u/d1.00 | 1.29 | 1.27 | 3 of 3
 letter | real | unadjudicated/cw-2026-09-23-173723 | 26.820 | `W` | `W` | right | .-- | 70.0 | estimator | 80ms/1.14u/d1.14 215ms/3.07u/d1.02 210ms/3.00u/d1.00 | 65ms/0.93u/d1.08 70ms/1.00u/d1.00 | 1.14 | 1.08 | 3 of 3
 letter | real | unadjudicated/cw-2026-09-23-173723 | 27.775 | `B` | `B` | right | -... | 70.0 | estimator | 220ms/3.14u/d1.05 125ms/1.79u/d1.68 85ms/1.21u/d1.21 90ms/1.29u/d1.29 | 60ms/0.86u/d1.17 15ms/0.21u/d4.67 60ms/0.86u/d1.17 | 1.68 | 4.67 | 4 of 4
 letter | real | unadjudicated/cw-2026-09-23-173723 | 28.970 | `6` | `7` | wrong | --... | 70.0 | estimator | 500ms/7.14u/d2.38 70ms/1.00u/d1.00 70ms/1.00u/d1.00 75ms/1.07u/d1.07 | 65ms/0.93u/d1.08 75ms/1.07u/d1.07 75ms/1.07u/d1.07 | 2.38 | 1.08 | 4 of 5
 letter | real | unadjudicated/cw-2026-09-23-173723 | 29.195 | `R` | `E` | wrong | . | 70.0 | estimator | 75ms/1.07u/d1.07 |  | 1.07 | 1.00 | 1 of 1
 letter | real | unadjudicated/cw-2026-09-23-173723 | 29.530 | `E` | `E` | right | . | 70.0 | estimator | 70ms/1.00u/d1.00 |  | 1.00 | 1.00 | 1 of 1
 letter | real | unadjudicated/cw-2026-09-23-173723 | 30.000 | `D` | `I` | wrong | .. | 70.0 | estimator | 85ms/1.21u/d1.21 |  | 1.21 | 1.00 | 1 of 2
 letter | real | cw-2026-08-17-013347 | 23.310 | `V` | `V` | right | ...- | 62.5 | estimator | 90ms/1.44u/d1.44 85ms/1.36u/d1.36 100ms/1.60u/d1.60 275ms/4.40u/d1.47 | 90ms/1.44u/d1.44 80ms/1.28u/d1.28 70ms/1.12u/d1.12 | 1.60 | 1.44 | 4 of 4
 letter | real | cw-2026-08-17-013347 | 23.925 | `A` | `A` | right | .- | 62.5 | estimator | 85ms/1.36u/d1.36 270ms/4.32u/d1.44 | 80ms/1.28u/d1.28 | 1.44 | 1.28 | 2 of 2
 letter | real | cw-2026-08-17-013347 | 25.230 | `3` | `3` | right | ...-- | 62.5 | estimator | 115ms/1.84u/d1.63 95ms/1.52u/d1.52 95ms/1.52u/d1.52 265ms/4.24u/d1.41 270ms/4.32u/d1.44 | 55ms/0.88u/d1.14 80ms/1.28u/d1.28 85ms/1.36u/d1.36 80ms/1.28u/d1.28 | 1.63 | 1.36 | 5 of 5
 letter | real | cw-2026-08-17-013347 | 26.175 | `V` | `V` | right | ...- | 62.5 | estimator | 110ms/1.76u/d1.70 100ms/1.60u/d1.60 100ms/1.60u/d1.60 275ms/4.40u/d1.47 | 60ms/0.96u/d1.04 75ms/1.20u/d1.20 75ms/1.20u/d1.20 | 1.70 | 1.20 | 4 of 4
 letter | real | cw-2026-08-17-013347 | 26.925 | `R` | `R` | right | .-. | 62.5 | estimator | 100ms/1.60u/d1.60 270ms/4.32u/d1.44 105ms/1.68u/d1.68 | 75ms/1.20u/d1.20 80ms/1.28u/d1.28 | 1.68 | 1.28 | 3 of 3
 letter | real | cw-2026-08-17-013347 | 27.690 | `R` | `R` | right | .-. | 62.5 | estimator | 90ms/1.44u/d1.44 275ms/4.40u/d1.47 100ms/1.60u/d1.60 | 80ms/1.28u/d1.28 75ms/1.20u/d1.20 | 1.60 | 1.28 | 3 of 3
 letter | real | cw-2026-08-17-134712 | 21.530 | `N` | `N` | right | -. | 66.7 | grid | 230ms/3.45u/d1.15 65ms/0.98u/d1.03 | 20ms/0.30u/d3.33 | 1.15 | 3.33 | 2 of 2
