Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:00.06]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.23]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.24]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:04:18.39]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatPitchTheDecoderIsOnTests.OnEveryCaptureInTheTree [4 m 18 s]
  Standard Output Messages:
 window | cw-2026-08-17-013347 | 8 to 10 s | instrument 618.0 | tracker 600.0 | mix 600.0 | measured 0.00 | err -18.0 | swing 20.5 dB | keyed 0.31 s
 window | cw-2026-08-17-013347 | 9 to 11 s | instrument 612.7 | tracker 600.0 | mix 600.0 | measured 0.00 | err -12.7 | swing 20.9 dB | keyed 0.51 s
 window | cw-2026-08-17-013347 | 10 to 12 s | instrument 615.1 | tracker 600.0 | mix 600.0 | measured 0.00 | err -15.1 | swing 21.0 dB | keyed 0.36 s
 window | cw-2026-08-17-013347 | 12 to 14 s | instrument 612.9 | tracker 600.0 | mix 600.0 | measured 0.00 | err -12.9 | swing 17.9 dB | keyed 0.42 s
 window | cw-2026-08-17-013347 | 13 to 15 s | instrument 612.6 | tracker 625.0 | mix 625.0 | measured 0.00 | err +12.4 | swing 16.9 dB | keyed 0.46 s
 window | cw-2026-08-17-013347 | 14 to 16 s | instrument 612.8 | tracker 625.0 | mix 625.0 | measured 0.00 | err +12.2 | swing 17.0 dB | keyed 0.46 s
 window | cw-2026-08-17-013347 | 15 to 17 s | instrument 612.6 | tracker 625.0 | mix 625.0 | measured 0.00 | err +12.4 | swing 18.9 dB | keyed 0.57 s
 window | cw-2026-08-17-013347 | 16 to 18 s | instrument 613.3 | tracker 625.0 | mix 625.0 | measured 0.00 | err +11.7 | swing 19.4 dB | keyed 0.60 s
 window | cw-2026-08-17-013347 | 17 to 19 s | instrument 613.6 | tracker 625.0 | mix 625.0 | measured 0.00 | err +11.4 | swing 17.8 dB | keyed 0.54 s
 window | cw-2026-08-17-013347 | 18 to 20 s | instrument 613.7 | tracker 625.0 | mix 625.0 | measured 0.00 | err +11.3 | swing 18.5 dB | keyed 0.87 s
 window | cw-2026-08-17-013347 | 19 to 21 s | instrument 613.9 | tracker 625.0 | mix 625.0 | measured 0.00 | err +11.1 | swing 22.2 dB | keyed 1.14 s
