 callsigns | cq-12wpm-0db | 
 callsigns | cq-12wpm-15db | N0CALL Sender
 callsigns | cq-12wpm-5db | N0CALL Sender
 callsigns | cq-18wpm-0db | 
 callsigns | cq-18wpm-0db-char5 | 
 callsigns | cq-18wpm-15db | N0CALL Sender
 callsigns | cq-18wpm-15db-char5 | 
 callsigns | cq-18wpm-5db | N0CALL Sender
 callsigns | cq-18wpm-5db-char5 | 
 callsigns | cq-25wpm-0db | 
 callsigns | cq-25wpm-15db | N0CALL Sender
 callsigns | cq-25wpm-5db | N06ALL Sender, N0CALL Sender
 callsigns | cw-2026-08-17-013347 | 
 callsigns | cw-2026-08-17-013622 | 
 callsigns | cw-2026-08-17-134712 | 
 callsigns | cw-2026-08-18-004507 | 
 callsigns | unadjudicated/cw-2026-08-18-003016 | 
 callsigns | unadjudicated/cw-2026-08-18-003126 | 
 callsigns | unadjudicated/cw-2026-08-18-003758 | 
 callsigns | unadjudicated/cw-2026-08-20-014854 | 
 callsigns | unadjudicated/cw-2026-08-20-014935 | 
 callsigns | unadjudicated/cw-2026-08-22-014113 | 
 callsigns | unadjudicated/cw-2026-08-22-014308 | 
 callsigns | unadjudicated/cw-2026-08-22-031838 | 
 callsigns | unadjudicated/cw-2026-08-22-031905 | 
 callsigns | unadjudicated/cw-2026-08-22-031948 | 
 callsigns | unadjudicated/cw-2026-08-22-032012 | 
 callsigns | unadjudicated/cw-2026-08-22-032050 | 
 callsigns | unadjudicated/cw-2026-08-22-032113 | 
 callsigns | unadjudicated/cw-2026-08-22-032129 | 
 callsigns | unadjudicated/cw-2026-08-23-001520 | 
 callsigns | unadjudicated/cw-2026-08-23-001831 | 
 callsigns | unadjudicated/cw-2026-08-23-001952 | 
 callsigns | unadjudicated/cw-2026-08-23-002016 | 
 callsigns | unadjudicated/cw-2026-08-24-012403 | KD0UN Sender
 callsigns | unadjudicated/cw-2026-08-25-011552 | K1ZJA Sender
 callsigns | unadjudicated/cw-2026-08-25-012748 | 
 callsigns | unadjudicated/cw-2026-08-25-012823 | 
 callsigns | unadjudicated/cw-2026-08-25-012922 | 
 callsigns | unadjudicated/cw-2026-08-25-013010 | 
 callsigns | unadjudicated/cw-2026-08-25-013150 | 
 callsigns | unadjudicated/cw-2026-08-25-013303 | 
 callsigns | unadjudicated/cw-2026-08-25-013402 | 
 callsigns | unadjudicated/cw-2026-08-25-013520 | 
