Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.61]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.85]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.86]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:00:02.08]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhereTheSecondDecodersFirstDitGoesTests.ThroughTheCaseSampleBySample [194 ms]
  Standard Output Messages:
 HM-REQ-122 | trace | emitted `GARIS CQ ` | 8256 decision samples
 mark | 1 | 10.0026 s to 10.0643 s | 493 samples
 mark | 2 | 10.1359 s to 10.3309 s | 1560 samples
 mark | 3 | 10.4025 s to 10.5975 s | 1560 samples
 mark | 4 | 10.6693 s to 10.7309 s | 493 samples
 mark | 5 | 10.9359 s to 10.9975 s | 493 samples
 mark | 6 | 11.0693 s to 11.2643 s | 1560 samples
 lead-in last second | 500 samples | in tone 227 | downs 22 | spikes 18 | ups 4 | mean CWupper 0.8389 | mean CWlower 0.8395 | mean value 0.8404 | mean magnitude 0.02390 | agc_peak 0.02862 | noise_floor 0.02273 | sig_avg 0.02400
 row | t_in s | t_filt s | magnitude | value | agc_peak | noise_floor | sig_avg | CWupper | CWlower | state | smpl_ctr | two_dots | events | printed | held
 row | 9.0039 | 9.0680 | 0.02577 | 0.9026 | 0.02855 | 0.02657 | 0.02397 | 0.8577 | 0.8668 | tone | 944 | 1025 |  |  | .
 row | 9.0059 | 9.0700 | 0.02509 | 0.8787 | 0.02855 | 0.02657 | 0.02397 | 0.8578 | 0.8669 | tone | 960 | 1025 |  |  | .
 row | 9.0079 | 9.0720 | 0.02549 | 0.8930 | 0.02854 | 0.02657 | 0.02397 | 0.8579 | 0.8671 | tone | 976 | 1025 |  |  | .
 row | 9.0099 | 9.0740 | 0.02574 | 0.9020 | 0.02854 | 0.02657 | 0.02397 | 0.8581 | 0.8672 | tone | 992 | 1025 |  |  | .
 row | 9.0119 | 9.0760 | 0.02908 | 1.0186 | 0.02854 | 0.02657 | 0.02398 | 0.8581 | 0.8672 | tone | 1008 | 1025 |  |  | .
 row | 9.0139 | 9.0780 | 0.03029 | 1.0608 | 0.02855 | 0.02657 | 0.02398 | 0.8580 | 0.8671 | tone | 1024 | 1025 |  |  | .
 row | 9.0159 | 9.0800 | 0.02803 | 0.9816 | 0.02855 | 0.02657 | 0.02399 | 0.8582 | 0.8672 | tone | 1040 | 1025 |  |  | .
 row | 9.0179 | 9.0820 | 0.02737 | 0.9587 | 0.02855 | 0.02657 | 0.02399 | 0.8583 | 0.8673 | tone | 1056 | 1025 |  |  | .
 row | 9.0199 | 9.0840 | 0.02538 | 0.8891 | 0.02855 | 0.02657 | 0.02399 | 0.8584 | 0.8675 | tone | 1072 | 1025 |  |  | .
 row | 9.0219 | 9.0860 | 0.02488 | 0.8717 | 0.02854 | 0.02657 | 0.02399 | 0.8586 | 0.8676 | tone | 1088 | 1025 |  |  | .
 row | 9.0239 | 9.0880 | 0.02439 | 0.8547 | 0.02854 | 0.02657 | 0.02399 | 0.8587 | 0.8677 | idle | 1104 | 1025 | spike 224 |  | .
 row | 9.0259 | 9.0900 | 0.02295 | 0.8040 | 0.02854 | 0.02655 | 0.02399 | 0.8586 | 0.8675 | idle | 1120 | 1025 |  |  | .
 row | 9.0279 | 9.0920 | 0.02289 | 0.8019 | 0.02854 | 0.02653 | 0.02399 | 0.8584 | 0.8673 | idle | 1136 | 1025 |  |  | .
 row | 9.0299 | 9.0940 | 0.02217 | 0.7768 | 0.02854 | 0.02651 | 0.02399 | 0.8582 | 0.8670 | idle | 1152 | 1025 |  |  | .
 row | 9.0319 | 9.0960 | 0.02356 | 0.8255 | 0.02854 | 0.02650 | 0.02399 | 0.8581 | 0.8669 | idle | 1168 | 1025 |  |  | .
 row | 9.0339 | 9.0980 | 0.02576 | 0.9026 | 0.02854 | 0.02650 | 0.02399 | 0.8582 | 0.8670 | tone | 0 | 1025 | down |  | 
 row | 9.0359 | 9.1000 | 0.02752 | 0.9644 | 0.02854 | 0.02650 | 0.02399 | 0.8583 | 0.8671 | tone | 16 | 1025 |  |  | 
 row | 9.0379 | 9.1020 | 0.02959 | 1.0367 | 0.02854 | 0.02650 | 0.02400 | 0.8583 | 0.8671 | tone | 32 | 1025 |  |  | 
 row | 9.0399 | 9.1040 | 0.03165 | 1.1082 | 0.02856 | 0.02650 | 0.02401 | 0.8581 | 0.8668 | tone | 48 | 1025 |  |  | 
