cq-12wpm-0db | emitted 0 | wrong 0 | added 0 | sent 21 | right 0 | ins 0 | del 6 
cq-12wpm-15db | emitted 21 | wrong 0 | added 0 | sent 21 | right 21 | ins 0 | del 0 
cq-12wpm-5db | emitted 21 | wrong 0 | added 0 | sent 21 | right 21 | ins 0 | del 0 
cq-18wpm-0db | emitted 0 | wrong 0 | added 0 | sent 21 | right 0 | ins 0 | del 6 
cq-18wpm-0db-char5 | emitted 0 | wrong 0 | added 0 | sent 21 | right 0 | ins 0 | del 6 
cq-18wpm-15db | emitted 21 | wrong 0 | added 0 | sent 21 | right 21 | ins 0 | del 0 
cq-18wpm-15db-char5 | emitted 21 | wrong 1 | added 0 | sent 21 | right 20 | ins 7 | del 5 
cq-18wpm-5db | emitted 20 | wrong 0 | added 0 | sent 21 | right 20 | ins 0 | del 0 
cq-18wpm-5db-char5 | emitted 25 | wrong 7 | added 4 | sent 21 | right 14 | ins 6 | del 2 
cq-25wpm-0db | emitted 0 | wrong 0 | added 0 | sent 21 | right 0 | ins 0 | del 6 
cq-25wpm-15db | emitted 22 | wrong 0 | added 1 | sent 21 | right 21 | ins 0 | del 0 
cq-25wpm-5db | emitted 22 | wrong 0 | added 1 | sent 21 | right 21 | ins 0 | del 0 
cw-2026-08-17-013347 | emitted 6 | wrong 0 | added 0 | sent 6 | right 6 | ins 0 | del 0 
cw-2026-08-17-134712 | emitted 3 | wrong 0 | added 0 | sent 3 | right 3 | ins 0 | del 0 
cw-2026-08-18-004507 | emitted 43 | wrong 0 | added 0 | sent 44 | right 43 | ins 5 | del 0 
unadjudicated/cw-2026-08-18-003758 | emitted 11 | wrong 3 | added 0 | sent 11 | right 8 | ins 0 | del 0 
unadjudicated/cw-2026-08-22-031838 | emitted 21 | wrong 5 | added 0 | sent 26 | right 16 | ins 0 | del 1 
unadjudicated/cw-2026-08-22-031905 | emitted 32 | wrong 2 | added 0 | sent 33 | right 30 | ins 1 | del 0 
unadjudicated/cw-2026-08-22-031948 | emitted 27 | wrong 1 | added 0 | sent 28 | right 26 | ins 0 | del 0 
unadjudicated/cw-2026-08-22-032012 | emitted 43 | wrong 1 | added 2 | sent 42 | right 40 | ins 1 | del 1 
unadjudicated/cw-2026-08-22-032050 | emitted 40 | wrong 4 | added 1 | sent 50 | right 35 | ins 1 | del 1 
unadjudicated/cw-2026-08-22-032113 | emitted 22 | wrong 1 | added 0 | sent 25 | right 21 | ins 3 | del 0 
unadjudicated/cw-2026-08-22-032129 | emitted 39 | wrong 4 | added 1 | sent 38 | right 34 | ins 0 | del 0 
unadjudicated/cw-2026-08-24-012403 | emitted 13 | wrong 0 | added 0 | sent 13 | right 13 | ins 0 | del 0 
unadjudicated/cw-2026-09-23-173723 | emitted 20 | wrong 3 | added 0 | sent 20 | right 17 | ins 6 | del 1 
unadjudicated/cw-2026-09-24-004108 | emitted 4 | wrong 2 | added 0 | sent 8 | right 2 | ins 1 | del 0 
unadjudicated/cw-2026-09-24-004133 | emitted 5 | wrong 0 | added 0 | sent 6 | right 5 | ins 2 | del 0 
unadjudicated/cw-2026-09-24-004205 | emitted 8 | wrong 0 | added 0 | sent 8 | right 8 | ins 1 | del 0 
unadjudicated/cw-2026-09-24-004234 | emitted 9 | wrong 2 | added 0 | sent 14 | right 7 | ins 2 | del 2 
unadjudicated/cw-2026-09-24-004322 | emitted 32 | wrong 0 | added 0 | sent 40 | right 32 | ins 4 | del 2 
unadjudicated/cw-2026-09-24-004347 | emitted 24 | wrong 0 | added 1 | sent 23 | right 23 | ins 1 | del 0 
unadjudicated/cw-2026-09-24-004405 | emitted 6 | wrong 0 | added 0 | sent 6 | right 6 | ins 0 | del 0 
unadjudicated/cw-2026-09-24-004427 | emitted 9 | wrong 0 | added 0 | sent 10 | right 9 | ins 0 | del 0 
unadjudicated/cw-2026-09-24-004510 | emitted 11 | wrong 0 | added 0 | sent 11 | right 11 | ins 0 | del 0 
unadjudicated/cw-2026-09-24-004550 | emitted 8 | wrong 0 | added 0 | sent 8 | right 8 | ins 1 | del 0 
