# unit 235 snapshot	label=task1
# taken 2026-09-03T17:40:17.180Z
# folder C:\Users\TimDi\AppData\Roaming\Hamlet	exists=True
# relpath	bytes	lastWriteUtc	sha256
layouts.json	819	2026-08-27T17:08:01.834Z	746CC3E02950F8A28820035E54331E79FCB669FEBBBB36B1CAAD2C0D7A8FD01D
scan-segments.json	4601	2026-08-17T23:40:52.390Z	EC0D3C779368C755CF48DF2170E60530F64739D7C66A34131C4E98CBE7873384
settings.json	1200	2026-09-03T17:21:30.855Z	106BEEDA53A551AB66395AC769C6A49007825FEEC22585FF29393FA7EB1DA38F
spots.db	716800	2026-08-28T15:33:39.208Z	EC716BDB05DD1BAD91DE9DC37A9EC0A600CDDA72637A701EE2AC09E032767999
spots.db-shm	32768	2026-09-03T17:21:30.000Z	00C27D1E95F43C4E574A14BD246A80FC8A9BFC8C0E3EC3E148F1DEDF0594B519
spots.db-wal	370832	2026-09-03T12:29:17.526Z	AFC2FFFE787D371FBA6A1913DDDBE70B65988534FA7344071642D1F33A4BDF1A
telemetry\2026-08-13.jsonl	84605	2026-08-13T23:19:03.427Z	278DEB3FC4324884DDC5B4A7487D57A30F869A61A68AFC479453F452320495B0
telemetry\2026-08-14.jsonl	109634	2026-08-14T23:55:13.706Z	57BF4FF40570AAC369FE9A285867D86CF5C797643D37A2960D52CA3D523ED2BE
telemetry\2026-08-15.jsonl	69122	2026-08-15T23:59:22.328Z	6DD3B4A72144BFB33212632CE7B6A0C8DE25118DE9EAB681B76FCEA2E90D226F
telemetry\2026-08-16.jsonl	214802	2026-08-16T13:53:56.431Z	4D05E939CDDE1E21B9AD1CFDBE2C851FB9EBC94A886649437816550F3818359F
telemetry\2026-08-17.jsonl	8848	2026-08-17T13:35:14.069Z	CB185CAD843DE656EEBB63230236C1EF3676526D964C5B800263B3C2792A2EAE
telemetry\2026-08-22.jsonl	7507	2026-08-22T21:28:19.610Z	75BB57B0C1369D11426BB477B253028DF2DACF42126DC335594638EC531A0C85
telemetry\2026-08-27.jsonl	144592	2026-08-27T17:51:06.407Z	9BCD2673AA02B140772B594E055B50F0C9C67C306306BB3C5DF0521CFE7A6B8A
telemetry\2026-08-28.jsonl	36910	2026-08-28T15:33:38.978Z	76C6FAEE9C2DFAB826E035DCE32E059F7C0D7B31FFC1CACEB5C09C982EACCE42
