place,latitude,longitude,x,y,on_file
FN00DJ (operator),40.3960,-79.7080,178.3017,133.0676,yes
Anchorage,61.2181,-149.9003,47.6756,83.7174,yes
Reykjavik,64.1466,-21.9426,285.8016,76.7766,yes
Dublin,53.3498,-6.2603,314.9859,102.3660,yes
Madrid,40.4168,-3.7038,319.7435,133.0183,yes
Tokyo,35.6762,139.6503,586.5218,144.2539,yes
Singapore,1.3521,103.8198,519.8421,225.6049,yes
Nairobi,-1.2921,36.8219,395.1608,231.8719,yes
Cape Town,-33.9249,18.4241,360.9230,309.2143,yes
Sao Paulo,-23.5505,-46.6333,239.8528,284.6261,yes
Buenos Aires,-34.6037,-58.3816,217.9896,310.8231,yes
Lima,-12.0464,-77.0428,183.2616,257.3604,yes
Sydney,-33.8688,151.2093,608.0328,309.0814,yes
Auckland,-36.8485,174.7633,651.8661,316.1435,yes
Honolulu,21.3069,-157.8583,32.8660,178.3103,yes
Midway Atoll,28.2072,-177.3735,-3.4513,161.9560,no
Ushuaia,-54.8019,-68.3030,199.5261,358.6946,yes
McMurdo (Antarctica),-77.8419,166.6863,636.8351,413.3013,no
